Tm,Y/A
SFO,4.0
PHI,4.1
CHI,3.4
JAX,4.0
DET,3.9
MIA,3.8
NWE,3.4
HOU,3.6
TAM,3.9
MIN,3.7
CLE,4.1
DAL,4.1
LAC,4.2
TEN,3.8
BAL,4.3
ATL,4.1
LAR,4.2
KAN,4.6
SEA,4.2
PIT,4.3
WAS,4.4
NOR,4.5
CAR,4.2
BUF,4.7
IND,4.2
GNB,4.4
LVR,4.4
CIN,5.0
NYJ,4.2
NYG,4.8
ARI,4.5
DEN,5.4
